DM,PGC,Name,Inc,e_Inc,HRV,Wmx,e_Wmx,m21,e_m21,umag,rmag,W1mag,Reu,Rer,ReW1,Au,e_Au,Ar,e_Ar,AW1,e_AW1,Gu,Gr,Gw1,QSflag,QWflag,ALFALFA,ADHI,SimbadName,LEDA,_RA,_DE,_ivoid,Vls,Vcmb,f,DMbest,e_DMbest,DM-r,e_DM-r,RMS-r,DM-i,e_DM-i,RMS-i,DM-z,e_DM-z,RMS-z,DM-W1,e_DM-W1,RMS-W1,logW,M_W1,M_pred,residual_M,mu_tf,d_tf_mpc,d_catalog_mpc
*,20637,ESO428-020,86,2,2007,155,18,16.137,0.185,,,14.11,,,0.45,,,,,0.02,0.0,0.91,0.45,0.02,0,4,0,1,LEDA   20637,LEDA,109.65641,-29.37438,ivo://CDS.VizieR/J/ApJ/902/145:table1:2360,1742,2197,1.006,31.81,0.49,,,,,,,,,,31.81,0.49,0.66,2.1903316981702914,-17.7,-18.07570749398322,0.3757074939832208,32.185707493983216,27.361600576662646,23.014418174085066
*,20670,ESO492-010,74,3,3384,248,11,14.943,0.185,,,13.44,,,0.31,,,,,0.03,0.0,1.14,0.64,0.05,0,4,0,1,LEDA   20670,LEDA,109.83961,-27.5824,ivo://CDS.VizieR/J/ApJ/902/145:table1:2361,3123,3577,1.009,33.03,0.21,,,,,,,,,,33.03,0.21,0.6,2.3944516808262164,-19.590000000000003,-19.807665544553608,0.2176655445536042,33.247665544553605,44.62036401026519,40.364539296760526
*,20699,UGC03805,79,3,8294,440,17,16.046,0.185,,,13.13,,,0.25,,,,,0.04,0.01,1.21,0.67,0.07,0,5,0,0,LEDA   20699,LEDA,110.00339,17.9457,ivo://CDS.VizieR/J/ApJ/902/145:table1:2363,8212,8466,1.022,34.92,0.19,,,,,,,,,,34.92,0.19,0.48,2.6434526764861874,-21.79,-21.920438989965277,0.13043898996527759,35.05043898996528,102.34998845090227,96.38290236239715
*,20734,PGC020734,75,3,3251,121,18,17.491,0.185,,,14.74,,,0.2,,,,,0.02,0.0,1.09,0.61,0.05,0,5,0,0,LEDA   20734,LEDA,110.17172,58.20735,ivo://CDS.VizieR/J/ApJ/902/145:table1:2364,3372,3316,1.009,32.15,0.62,,,,,,,,,,32.15,0.62,0.66,2.0827853703164503,-17.409999999999997,-17.16317690333683,-0.24682309666316726,31.903176903336828,24.02345023395877,26.91534803926914
*,20744,UGC03808,65,5,2389,185,16,14.75,0.076,,,14.49,,,0.51,,,,,0.01,0.0,0.84,0.38,0.01,0,4,0,1,LEDA   20744,LEDA,110.25921,25.17869,ivo://CDS.VizieR/J/ApJ/902/145:table1:2365,2343,2548,1.007,33.06,0.4,,,,,,,,,,33.06,0.4,0.64,2.2671717284030137,-18.57,-18.72769514965517,0.15769514965516862,33.21769514965517,44.00874966065825,40.92606597300114
*,20755,ESO367-018,70,4,7838,346,20,15.86,0.185,,,13.02,,,0.25,,,,,0.03,0.0,1.22,0.68,0.07,0,5,0,1,LEDA   20755,LEDA,110.28726,-34.39392,ivo://CDS.VizieR/J/ApJ/902/145:table1:2366,7562,8026,1.021,34.19,0.27,,,,,,,,,,34.19,0.27,0.5,2.5390760987927767,-21.169999999999998,-21.034803729394962,-0.1351962706050358,34.05480372939496,64.70841257893437,68.86522963442755
*,20766,NGC2397,62,4,1357,307,16,14.907,0.185,,,10.73,,,0.42,,,,,0.01,0.0,0.94,0.39,0.03,0,5,0,0,LEDA   20766,LEDA,110.33289,-69.0014,ivo://CDS.VizieR/J/ApJ/902/145:table1:2367,1068,1470,1.004,31.58,0.28,,,,,,,,,,31.58,0.28,0.52,2.4871383754771865,-20.849999999999998,-20.594112147638537,-0.25588785236146094,31.324112147638537,18.400195167996372,20.701413487910404
*,20827,PGC020827,88,2,1615,260,20,16.012,0.185,,,11.43,,,0.31,,,,,0.05,0.0,1.17,0.62,0.06,0,5,0,1,LEDA   20827,LEDA,110.54534,-5.9297,ivo://CDS.VizieR/J/ApJ/902/145:table1:2368,1423,1817,1.005,31.19,0.33,,,,,,,,,,31.19,0.33,0.6,2.4149733479708178,-19.76,-19.98179189004782,0.22179189004781819,31.41179189004782,19.158362130240253,17.298163592151024
*,20830,PGC020830,85,2,5135,356,11,16.799,0.185,,,13.46,,,0.19,,,,,0.05,0.0,1.19,0.65,0.06,0,5,0,1,LEDA   20830,LEDA,110.5468,18.89077,ivo://CDS.VizieR/J/ApJ/902/145:table1:2369,5056,5308,1.014,34.43,0.16,,,,,,,,,,34.43,0.16,0.51,2.5514499979728753,-20.97,-21.139796263800783,0.16979626380078372,34.59979626380078,83.16857353702567,76.91304402866095
*,20835,UGC03820,89,1,2530,299,8,15.034,0.076,,,12.7,,,0.35,,,,,0.06,0.0,1.21,0.7,0.06,0,5,0,1,LEDA   20835,LEDA,110.5836,17.28686,ivo://CDS.VizieR/J/ApJ/902/145:table1:2370,2443,2706,1.007,32.86,0.14,,,,,,,,,,32.86,0.14,0.56,2.4756711883244296,-20.16,-20.496813064774646,0.33681306477464545,33.196813064774645,43.58756549462746,37.32501577957204
*,20838,NGC2365,63,4,2272,382,10,15.382,0.217,,,11.4,,,0.53,,,,,0.02,0.0,1.12,0.57,0.05,0,5,0,0,LEDA   20838,LEDA,110.59394,22.08329,ivo://CDS.VizieR/J/ApJ/902/145:table1:2371,2209,2439,1.006,32.94,0.2,,,,,,,,,,32.94,0.2,0.48,2.582063362911709,-21.54,-21.39955066496707,-0.14044933503292967,32.79955066496707,36.300293209722085,38.72576449216169
*,20844,UGC03804,59,4,2869,294,10,14.474,0.076,,,12.16,,,0.37,,,,,0.02,0.0,1.24,0.71,0.07,0,5,0,1,LEDA   20844,LEDA,110.6448,71.59894,ivo://CDS.VizieR/J/ApJ/902/145:table1:2372,3049,2889,1.008,32.96,0.24,,,,,,,,,,32.96,0.24,0.52,2.4683473304121573,-20.8,-20.434670130470288,-0.36532986952971314,32.59467013047029,33.03193582357088,39.084089579240214
*,20865,ESO123-009,71,3,3212,274,18,15.115,0.185,,,12.74,,,0.48,,,,,0.02,0.0,1.19,0.68,0.06,0,5,0,0,LEDA   20865,LEDA,110.71002,-62.02909,ivo://CDS.VizieR/J/ApJ/902/145:table1:2373,2916,3345,1.009,32.9,0.29,,,,,,,,,,32.9,0.29,0.57,2.437750562820388,-20.159999999999997,-20.175056557793663,0.01505655779366677,32.91505655779366,38.28347144335254,38.01893963205609
*,20903,ESO428-028,88,2,2242,369,19,15.385,0.076,,,11.34,,,0.53,,,,,0.06,0.0,1.2,0.65,0.06,0,5,0,1,LEDA   20903,LEDA,110.91097,-30.05123,ivo://CDS.VizieR/J/ApJ/902/145:table1:2376,1974,2438,1.006,32.36,0.23,,,,,,,,,,32.36,0.23,0.49,2.56702636615906,-21.02,-21.271961747687712,0.2519617476877123,32.611961747687715,33.29602197809915,29.648313895243422
*,20933,UGC03828,51,4,3514,246,13,15.99,0.076,,,11.8,,,0.35,,,,,0.01,0.0,1.06,0.5,0.05,0,5,0,1,LEDA   20933,LEDA,111.1489,57.96763,ivo://CDS.VizieR/J/ApJ/902/145:table1:2378,3633,3582,1.009,32.41,0.33,,,,,,,,,,32.41,0.33,0.54,2.3909351071033793,-20.609999999999996,-19.77782741655436,-0.8321725834456366,31.57782741655436,20.68071184036939,30.338911841942657
*,20956,ESO428-031,86,2,1917,273,14,14.799,0.185,,,12.2,,,0.47,,,,,0.05,0.0,1.21,0.7,0.06,0,5,0,1,LEDA   20956,LEDA,111.25654,-32.49903,ivo://CDS.VizieR/J/ApJ/902/145:table1:2379,1643,2111,1.006,32.03,0.23,,,,,,,,,,32.03,0.23,0.59,2.436162647040756,-19.830000000000002,-20.161583092421107,0.3315830924211056,32.36158309242111,29.669936612677365,25.46830252585042
*,20989,UGC03843,79,3,5278,188,14,16.261,0.076,,,15.6,,,0.26,,,,,0.01,0.0,0.88,0.42,0.02,0,4,0,1,LEDA   20989,LEDA,111.43237,20.10247,ivo://CDS.VizieR/J/ApJ/902/145:table1:2380,5204,5453,1.014,33.91,0.32,,,,,,,,,,33.91,0.32,0.65,2.27415784926368,-18.309999999999995,-18.786972385080396,0.4769723850804013,34.3869723850804,75.40401601897159,60.53408747539127
*,21013,PGC021013,61,4,7667,311,19,17.23,0.185,,,14.51,,,0.19,,,,,0.02,0.0,1.24,0.71,0.07,0,5,0,0,LEDA   21013,LEDA,111.58243,58.32846,ivo://CDS.VizieR/J/ApJ/902/145:table1:2382,7787,7735,1.02,35.7,0.31,,,,,,,,,,35.7,0.31,0.51,2.4927603890268375,-21.190000000000005,-20.641814932544936,-0.5481850674550692,35.15181493254494,107.24152632933188,138.03842646028866
*,21020,UGC03845,53,4,3030,195,8,15.505,0.185,,,13.28,,,0.37,,,,,0.01,0.0,1.19,0.68,0.06,0,5,0,1,LEDA   21020,LEDA,111.67796,47.0941,ivo://CDS.VizieR/J/ApJ/902/145:table1:2383,3095,3136,1.008,32.74,0.29,,,,,,,,,,32.74,0.29,0.61,2.290034611362518,-19.46,-18.92168671131285,-0.5383132886871493,32.20168671131285,27.563689071054448,35.318316979195735
*,21021,UGC03836,48,6,5196,173,14,15.543,0.185,15.78,14.31,14.55,0.32,0.3,0.29,0.18,0.05,0.1,0.03,0.01,0.0,1.03,0.55,0.04,5,5,0,0,LEDA   21021,LEDA,111.68908,64.80844,ivo://CDS.VizieR/J/ApJ/902/145:table1:2384,5346,5242,1.014,34.04,0.46,34.04,0.44,0.53,34.05,0.46,0.54,34.04,0.47,0.54,34.1,0.52,0.62,2.2380461031287955,-19.49,-18.480564219526638,-1.0094357804733605,33.03056421952664,40.37502868644203,64.26877173170195
*,21033,NGC2336,65,4,2201,439,8,13.306,0.185,,,10.2,,,1.22,,,,,0.03,0.0,1.2,0.66,0.07,0,5,0,1,LEDA   21033,LEDA,111.76687,80.17807,ivo://CDS.VizieR/J/ApJ/902/145:table1:2385,2414,2191,1.006,32.06,0.18,,,,,,,,,,32.06,0.18,0.48,2.6424645202421213,-21.860000000000003,-21.912054484245342,0.05205448424533898,32.11205448424534,26.44909989252644,25.822601906345984
*,21040,PGC021040,73,3,6057,290,19,17.132,0.185,,,14.2,,,0.2,,,,,0.04,0.0,1.24,0.71,0.07,0,5,0,0,LEDA   21040,LEDA,111.8077,48.29472,ivo://CDS.VizieR/J/ApJ/902/145:table1:2386,6128,6160,1.016,34.66,0.29,,,,,,,,,,34.66,0.29,0.56,2.462397997898956,-20.459999999999997,-20.384190044161798,-0.07580995583819927,34.5841900441618,82.5729896159454,85.50667128846818
*,21120,UGC03876,59,4,864,191,5,14.194,0.076,14.3,12.78,13.07,0.67,0.6,0.59,0.29,0.05,0.15,0.03,0.01,0.0,1.01,0.54,0.03,5,5,2,0,LEDA   21120,LEDA,112.32289,27.90049,ivo://CDS.VizieR/J/ApJ/902/145:table1:2392,828,1026,1.003,31.98,0.21,31.98,0.21,0.54,31.98,0.21,0.55,31.97,0.21,0.55,31.93,0.22,0.63,2.2810333672477277,-18.91,-18.845311155098745,-0.06468884490125504,31.915311155098745,24.158069759854595,24.888573182823915
*,21161,ESO428-037,71,4,2086,282,8,13.94,0.185,,,11.58,,,0.56,,,,,0.04,0.01,1.23,0.71,0.07,0,4,0,1,LEDA   21161,LEDA,112.57678,-31.59899,ivo://CDS.VizieR/J/ApJ/902/145:table1:2395,1812,2288,1.006,31.77,0.18,,,,,,,,,,31.77,0.18,0.56,2.450249108319361,-20.189999999999998,-20.28110671621375,0.09110671621375133,31.861106716213747,23.562498681225552,22.59435770220977
*,21162,UGC03881,61,4,3055,182,10,15.786,0.185,,,15.08,,,0.22,,,,,0.01,0.0,0.99,0.52,0.03,0,5,0,0,LEDA   21162,LEDA,112.5758,49.51979,ivo://CDS.VizieR/J/ApJ/902/145:table1:2396,3131,3156,1.008,33.77,0.29,,,,,,,,,,33.77,0.29,0.64,2.2600713879850747,-18.690000000000005,-18.66744876128775,-0.022551238712253507,33.74744876128775,56.16810246058698,56.7544605408548
*,21164,IC0467,71,3,2033,286,17,13.639,0.076,,,12.32,,,0.58,,,,,0.03,0.0,1.15,0.65,0.05,0,5,0,1,LEDA   21164,LEDA,112.57667,79.8725,ivo://CDS.VizieR/J/ApJ/902/145:table1:2397,2245,2025,1.005,32.57,0.27,,,,,,,,,,32.57,0.27,0.56,2.456366033129043,-20.25,-20.333008823156025,0.08300882315602465,32.65300882315603,33.93139888653142,32.658783217233584
*,21167,ESO123-016,80,3,3254,257,18,15.426,0.185,,,12.92,,,0.53,,,,,0.04,0.0,1.15,0.65,0.05,0,5,0,0,LEDA   21167,LEDA,112.60005,-61.78997,ivo://CDS.VizieR/J/ApJ/902/145:table1:2398,2957,3393,1.009,32.62,0.3,,,,,,,,,,32.62,0.3,0.6,2.4099331233312946,-19.699999999999996,-19.9390255840374,0.23902558403740315,32.8590255840374,37.30827049099631,33.41950400261139
*,21189,UGC03864,57,4,2616,181,9,14.649,0.076,,,14.42,,,0.32,,,,,0.01,0.0,0.92,0.46,0.02,0,5,0,1,LEDA   21189,LEDA,112.73674,72.51734,ivo://CDS.VizieR/J/ApJ/902/145:table1:2400,2799,2636,1.007,33.17,0.29,,,,,,,,,,33.17,0.29,0.64,2.2576785748691846,-18.75,-18.647145742025977,-0.10285425797402326,33.06714574202598,41.06096468027271,43.0526610491711
*,21197,UGC03892,83,3,8101,404,18,16.792,0.076,,,13.6,,,0.28,,,,,0.05,0.01,1.23,0.7,0.07,0,5,0,1,LEDA   21197,LEDA,112.79077,13.05962,ivo://CDS.VizieR/J/ApJ/902/145:table1:2401,7989,8295,1.022,35.1,0.2,,,,,,,,,,35.1,0.2,0.48,2.606381365110605,-21.5,-21.605888913354843,0.10588891335484263,35.20588891335484,109.94558202597129,104.71285480509006
*,21322,UGC03905,49,6,4832,192,17,16.238,0.185,,,13.54,,,0.19,,,,,0.02,0.0,1.24,0.7,0.07,0,4,0,1,LEDA   21322,LEDA,113.70557,62.54606,ivo://CDS.VizieR/J/ApJ/902/145:table1:2404,4970,4891,1.013,33.65,0.53,,,,,,,,,,33.65,0.53,0.6,2.2833012287035497,-20.11,-18.864553959526226,-1.245446040473773,32.404553959526226,30.262917360001477,53.703179637025244
*,21338,ESO257-019,89,1,2871,321,15,13.738,0.185,,,12.39,,,0.47,,,,,0.05,0.0,1.16,0.66,0.06,0,5,0,1,LEDA   21338,LEDA,113.77858,-46.92597,ivo://CDS.VizieR/J/ApJ/902/145:table1:2406,2573,3051,1.008,32.82,0.21,,,,,,,,,,32.82,0.21,0.54,2.506505032404872,-20.43,-20.758438231455035,0.3284382314550349,33.14843823145503,42.627282415986336,36.643757464783334
*,21358,NGC2416,48,6,5087,195,7,15.503,0.076,,,13.57,,,0.26,,,,,0.01,0.0,1.22,0.7,0.06,0,5,0,1,LEDA   21358,LEDA,113.92302,11.61203,ivo://CDS.VizieR/J/ApJ/902/145:table1:2407,4966,5289,1.014,33.57,0.43,,,,,,,,,,33.57,0.43,0.6,2.290034611362518,-20.0,-18.92168671131285,-1.0783132886871485,32.49168671131285,31.50194306618972,51.760683195056764
*,21375,NGC2427,62,4,973,236,13,12.811,0.185,,,10.42,,,1.62,,,,,0.02,0.0,1.18,0.68,0.06,0,5,0,1,LEDA   21375,LEDA,114.1174,-47.63555,ivo://CDS.VizieR/J/ApJ/902/145:table1:2408,674,1153,1.003,30.18,0.29,,,,,,,,,,30.18,0.29,0.59,2.3729120029701067,-19.759999999999998,-19.624901378183544,-0.1350986218164536,30.044901378183546,10.208931167266783,10.864256236170656
*,21380,UGC03922,89,1,8790,465,13,15.763,0.076,,,13.38,,,0.25,,,,,0.06,0.0,1.24,0.71,0.07,0,5,0,1,LEDA   21380,LEDA,114.19619,55.04111,ivo://CDS.VizieR/J/ApJ/902/145:table1:2409,8892,8878,1.023,35.28,0.15,,,,,,,,,,35.28,0.15,0.48,2.667452952889954,-21.9,-22.1240813349849,0.22408133498490201,35.5040813349849,126.12938176365877,113.7627285823431
*,21383,PGC021383,83,3,2779,263,5,15.525,0.076,,,13.98,,,0.3,,,,,0.03,0.0,1.09,0.6,0.05,0,5,2,0,LEDA   21383,LEDA,114.16845,4.17015,ivo://CDS.VizieR/J/ApJ/902/145:table1:2410,2623,2992,1.008,33.62,0.12,,,,,,,,,,33.62,0.12,0.59,2.419955748489758,-19.639999999999997,-20.02406755839574,0.384067558395742,34.00406755839574,63.214034871773734,52.96634438916573
*,21388,UGC03923,53,4,8987,277,17,16.445,0.185,,,13.98,,,0.18,,,,,0.02,0.0,1.23,0.7,0.07,0,5,0,0,LEDA   21388,LEDA,114.20065,55.32179,ivo://CDS.VizieR/J/ApJ/902/145:table1:2411,9090,9074,1.024,35.08,0.34,,,,,,,,,,35.08,0.34,0.52,2.4424797690644486,-21.099999999999998,-20.215183872722037,-0.8848161272779613,34.19518387272204,69.02982534178659,103.75284158180116
*,21396,NGC2403,58,4,130,241,10,9.557,0.217,9.45,8.09,8.28,3.66,3.55,3.04,0.33,0.06,0.19,0.03,0.01,0.0,1.17,0.67,0.06,4,5,0,0,LEDA   21396,LEDA,114.21391,65.60268,ivo://CDS.VizieR/J/ApJ/902/145:table1:2412,282,179,1.0,28.26,0.25,28.26,0.24,0.47,28.25,0.25,0.47,28.28,0.25,0.46,28.23,0.26,0.58,2.3820170425748683,-19.980000000000004,-19.70215763912891,-0.2778423608710945,27.982157639128907,3.948494412907287,4.487453899331325
*,21398,UGC03909,85,2,945,164,8,14.274,0.076,,,14.46,,,0.42,,,,,0.01,0.0,0.78,0.33,0.01,0,4,0,1,LEDA   21398,LEDA,114.24496,73.71361,ivo://CDS.VizieR/J/ApJ/902/145:table1:2414,1132,963,1.003,31.84,0.22,,,,,,,,,,31.84,0.22,0.66,2.214843848047698,-17.38,-18.283693085421003,0.9036930854210041,32.743693085421,35.37843496177476,23.33458062281002
*,21453,ESO163-011,85,2,2826,338,10,13.608,0.185,,,11.72,,,0.4,,,,,0.05,0.0,1.24,0.71,0.07,0,5,0,1,LEDA   21453,LEDA,114.52303,-55.19075,ivo://CDS.VizieR/J/ApJ/902/145:table1:2420,2525,2988,1.008,32.39,0.15,,,,,,,,,,32.39,0.15,0.52,2.5289167002776547,-20.67,-20.948601233106892,0.27860123310689033,32.66860123310689,34.17592253525586,30.060763026282324
*,21488,ESO560-004,83,3,2177,406,16,16.306,0.185,,,11.55,,,0.31,,,,,0.02,0.01,0.87,0.32,0.02,0,5,0,1,LEDA   21488,LEDA,114.75189,-22.04622,ivo://CDS.VizieR/J/ApJ/902/145:table1:2422,1923,2398,1.006,32.91,0.19,,,,,,,,,,32.91,0.19,0.48,2.6085260335771943,-21.359999999999996,-21.624086425270054,0.2640864252700581,33.174086425270055,43.13375677257045,38.1944270840046
*,21492,PGC021492,71,3,9219,406,6,15.769,0.076,,,14.26,,,0.16,,,,,0.03,0.0,1.24,0.71,0.07,0,5,2,0,LEDA   21492,LEDA,114.77717,9.11437,ivo://CDS.VizieR/J/ApJ/902/145:table1:2423,9085,9429,1.025,36.02,0.13,,,,,,,,,,36.02,0.13,0.48,2.6085260335771943,-21.760000000000005,-21.624086425270054,-0.13591357472995114,35.884086425270056,150.2509702157359,159.9558028614671
*,21496,UGC03943,69,3,3525,260,9,14.754,0.076,,,13.88,,,0.3,,,,,0.02,0.0,1.09,0.61,0.05,0,5,0,1,LEDA   21496,LEDA,114.79562,59.1612,ivo://CDS.VizieR/J/ApJ/902/145:table1:2424,3646,3599,1.01,33.77,0.19,,,,,,,,,,33.77,0.19,0.58,2.4149733479708178,-19.89,-19.98179189004782,0.09179189004781918,33.86179189004782,59.20499898552276,56.7544605408548
*,21503,UGC03955,89,1,5108,332,5,15.765,0.076,,,13.95,,,0.34,,,,,0.05,0.0,1.14,0.64,0.05,0,5,2,1,LEDA   21503,LEDA,114.85666,8.89839,ivo://CDS.VizieR/J/ApJ/902/145:table1:2425,4973,5319,1.014,34.55,0.11,,,,,,,,,,34.55,0.11,0.53,2.5211380837040362,-20.599999999999998,-20.88259967156606,0.2825996715660608,34.83259967156606,92.58058790542928,81.28305161640982
*,21539,ESO429-009,89,1,5067,311,15,15.192,0.185,,,14.07,,,0.32,,,,,0.04,0.0,1.05,0.57,0.04,0,4,0,0,LEDA   21539,LEDA,115.08548,-30.95357,ivo://CDS.VizieR/J/ApJ/902/145:table1:2430,4790,5281,1.014,34.4,0.22,,,,,,,,,,34.4,0.22,0.55,2.4927603890268375,-20.33,-20.641814932544936,0.3118149325449373,34.71181493254494,87.57153987812082,75.85775750291832
*,21558,NGC2424,89,1,3354,430,10,14.556,0.076,14.82,12.47,11.82,0.72,0.59,0.61,1.74,0.11,1.08,0.11,0.06,0.0,1.23,0.71,0.07,5,5,0,1,LEDA   21558,LEDA,115.16372,39.2333,ivo://CDS.VizieR/J/ApJ/902/145:table1:2432,3373,3498,1.009,32.79,0.14,32.77,0.14,0.35,32.79,0.14,0.39,32.8,0.14,0.4,33.28,0.13,0.48,2.6334684555795866,-20.97,-21.835722875683565,0.8657228756835664,33.655722875683566,53.84490005012102,36.14098626396132
*,21569,ESO429-012,72,3,2717,274,17,14.72,0.185,,,12.73,,,0.41,,,,,0.03,0.0,1.2,0.69,0.06,0,4,0,1,LEDA   21569,LEDA,115.24514,-32.07258,ivo://CDS.VizieR/J/ApJ/902/145:table1:2433,2437,2930,1.008,32.85,0.28,,,,,,,,,,32.85,0.28,0.57,2.437750562820388,-20.12,-20.175056557793663,0.055056557793662364,32.905056557793664,38.107574869735636,37.153522909717275
*,21660,ESO163-014,77,3,2861,318,18,16.354,0.185,,,12.43,,,0.4,,,,,0.04,0.01,1.23,0.69,0.07,0,5,0,0,LEDA   21660,LEDA,115.93203,-56.76787,ivo://CDS.VizieR/J/ApJ/902/145:table1:2440,2558,3023,1.008,33.06,0.25,,,,,,,,,,33.06,0.25,0.54,2.5024271199844326,-20.630000000000003,-20.723837144612858,0.09383714461285564,33.15383714461286,42.73339812390526,40.92606597300114
*,21673,UGC03995,63,4,4755,441,5,15.321,0.076,14.36,12.16,11.43,0.58,0.48,0.36,0.22,0.04,0.02,0.02,0.0,0.0,0.64,0.08,0.0,5,5,1,1,LEDA   21673,LEDA,116.03803,29.24743,ivo://CDS.VizieR/J/ApJ/902/145:table1:2441,4720,4931,1.013,33.55,0.18,33.55,0.17,0.35,33.55,0.18,0.39,33.54,0.18,0.4,33.36,0.18,0.48,2.6444385894678386,-22.119999999999997,-21.928804461603644,-0.19119553839635373,33.35880446160364,46.96354721944863,51.286138399136426
*,21684,UGC03979,86,2,4063,373,16,15.049,0.076,15.13,13.6,12.94,0.51,0.39,0.34,1.34,0.21,0.79,0.14,0.05,0.0,1.21,0.7,0.06,5,4,0,1,LEDA   21684,LEDA,116.12924,67.27352,ivo://CDS.VizieR/J/ApJ/902/145:table1:2443,4221,4109,1.011,34.01,0.19,33.98,0.19,0.35,34.01,0.19,0.39,34.03,0.19,0.4,33.99,0.2,0.49,2.571708831808688,-21.07,-21.311692468672838,0.2416924686728379,34.251692468672836,70.84977799396867,63.38697112569263
*,21690,ESO123-023,89,1,2913,330,10,13.932,0.217,,,12.68,,,0.46,,,,,0.04,0.0,1.11,0.62,0.05,0,5,0,0,LEDA   21690,LEDA,116.16212,-58.15366,ivo://CDS.VizieR/J/ApJ/902/145:table1:2444,2611,3071,1.008,33.17,0.15,,,,,,,,,,33.17,0.15,0.53,2.5185139398778875,-20.490000000000002,-20.86033381123031,0.3703338112303065,33.54033381123031,51.058348377304796,43.0526610491711
*,21697,PGC021697,89,2,5174,176,18,17.787,0.185,,,16.48,,,0.21,,,,,0.02,0.0,0.86,0.4,0.02,0,3,0,0,LEDA   21697,LEDA,116.19792,58.97944,ivo://CDS.VizieR/J/ApJ/902/145:table1:2445,5293,5253,1.014,34.63,0.43,,,,,,,,,,34.63,0.43,0.66,2.24551266781415,-18.150000000000002,-18.543918020799012,0.39391802079900984,35.023918020799016,101.10755402842952,84.33347577642765
*,21706,ESO035-016,71,7,4840,337,20,15.799,0.185,,,13.64,,,0.18,,,,,0.03,0.01,1.24,0.71,0.07,0,5,0,0,LEDA   21706,LEDA,116.24845,-74.51685,ivo://CDS.VizieR/J/ApJ/902/145:table1:2446,4556,4944,1.013,34.73,0.31,,,,,,,,,,34.73,0.31,0.51,2.5276299008713385,-21.089999999999996,-20.93768274015858,-0.15231725984141775,34.57768274015858,82.32591153384587,88.30799004185613
*,21710,UGC04005,87,2,5060,455,6,14.249,0.076,,,12.76,,,0.4,,,,,0.06,0.0,1.2,0.69,0.06,0,5,2,0,LEDA   21710,LEDA,116.29568,7.9333,ivo://CDS.VizieR/J/ApJ/902/145:table1:2448,4918,5280,1.014,34.45,0.11,,,,,,,,,,34.45,0.11,0.48,2.6580113966571126,-21.690000000000005,-22.043969730454016,0.35396973045401126,34.803969730454014,91.36796372264862,77.62471166286927
*,21712,UGC03984,70,3,3882,328,15,15.145,0.185,,,12.8,,,0.43,,,,,0.03,0.0,1.23,0.71,0.07,0,5,0,0,LEDA   21712,LEDA,116.30622,70.03233,ivo://CDS.VizieR/J/ApJ/902/145:table1:2449,4052,3918,1.01,33.66,0.22,,,,,,,,,,33.66,0.22,0.51,2.515873843711679,-20.859999999999996,-20.837932595289328,-0.02206740471066837,33.63793259528933,53.405565620608336,53.951062251512674
*,21718,PGC021718,59,4,5028,345,11,15.856,0.076,,,13.46,,,0.2,,,,,0.02,0.0,1.22,0.68,0.07,0,5,2,0,LEDA   21718,LEDA,116.37864,7.93158,ivo://CDS.VizieR/J/ApJ/902/145:table1:2452,4886,5248,1.014,34.93,0.23,,,,,,,,,,34.93,0.23,0.48,2.537819095073274,-21.47,-21.02413805284893,-0.4458619471510694,34.484138052848934,78.85470485716813,96.8277856261249
*,21730,UGC04010,87,2,2768,231,5,14.587,0.076,,,13.69,,,0.2,,,,,0.04,0.0,1.13,0.63,0.05,0,5,2,0,LEDA   21730,LEDA,116.43519,4.98127,ivo://CDS.VizieR/J/ApJ/902/145:table1:2455,2612,2992,1.008,32.76,0.13,,,,,,,,,,32.76,0.13,0.62,2.3636119798921444,-19.07,-19.545990682470237,0.47599068247023624,33.23599068247024,44.38110759635278,35.64511334262439
*,21758,UGC04003,67,4,6634,529,20,14.952,0.185,,,12.81,,,0.34,,,,,0.03,0.0,1.23,0.7,0.07,0,5,0,1,LEDA   21758,LEDA,116.61905,58.96258,ivo://CDS.VizieR/J/ApJ/902/145:table1:2457,6753,6714,1.018,35.29,0.22,,,,,,,,,,35.29,0.22,0.48,2.7234556720351857,-22.479999999999997,-22.599264406310727,0.11926440631073021,35.409264406310726,120.74047533410838,114.28783347897712
*,21759,ESO560-012,80,3,3305,364,11,14.089,0.185,,,12.33,,,0.36,,,,,0.05,0.01,1.23,0.71,0.07,0,5,0,1,LEDA   21759,LEDA,116.60581,-18.54715,ivo://CDS.VizieR/J/ApJ/902/145:table1:2458,3058,3537,1.009,33.33,0.16,,,,,,,,,,33.33,0.16,0.49,2.561101383649056,-21.0,-21.221688271156076,0.2216882711560757,33.551688271156074,51.32602772742086,46.34469197362877
*,21777,PGC021777,78,3,5981,282,18,17.099,0.185,16.67,14.82,14.26,0.17,0.16,0.19,0.84,0.13,0.49,0.08,0.04,0.01,1.24,0.71,0.07,5,5,0,0,LEDA   21777,LEDA,116.7539,51.43538,ivo://CDS.VizieR/J/ApJ/902/145:table1:2459,6062,6089,1.016,34.68,0.26,34.68,0.25,0.46,34.68,0.26,0.46,34.68,0.26,0.45,34.48,0.28,0.57,2.450249108319361,-20.42,-20.28110671621375,-0.13889328378625265,34.54110671621375,80.95083694315353,86.29785477669702
