pair_id,group_id,r_ap,x_o,y_o,x_e,y_e,flux_o,flux_e,sky_o,sky_e
13,3,8,353.3999546482896,183.02692894044125,383.37069252142527,188.59747643631985,48.23937471363388,3647.3622179600598,-47.0,-46.0
14,3,3,94.76147904394826,183.7577088575748,125.12804488749046,189.7933490751099,16.911730732677142,25.143345967137066,-46.5,-46.5
14,3,4,94.76147904394826,183.7577088575748,125.12804488749046,189.7933490751099,23.39805976761363,37.651996809058346,-46.5,-46.5
14,3,5,94.76147904394826,183.7577088575748,125.12804488749046,189.7933490751099,29.32390625087919,51.846434504389435,-46.5,-46.5
14,3,6,94.76147904394826,183.7577088575748,125.12804488749046,189.7933490751099,32.44507161981528,60.69260648385534,-46.5,-46.5
14,3,8,94.76147904394826,183.7577088575748,125.12804488749046,189.7933490751099,35.23806938942107,70.56263683305042,-46.5,-46.5
15,3,3,58.984998043042616,195.36316118407905,89.7723372199033,200.92416624377853,27.262277201937422,14.997577903614001,-46.5,-46.5
15,3,4,58.984998043042616,195.36316118407905,89.7723372199033,200.92416624377853,33.13473601299893,14.200273438570093,-46.5,-46.5
15,3,5,58.984998043042616,195.36316118407905,89.7723372199033,200.92416624377853,40.88738194045345,20.147799670856784,-46.5,-46.5
15,3,6,58.984998043042616,195.36316118407905,89.7723372199033,200.92416624377853,45.94277529287865,26.672020040698044,-46.5,-46.5
15,3,8,58.984998043042616,195.36316118407905,89.7723372199033,200.92416624377853,60.55147129199577,37.127430372427625,-46.5,-46.5
16,3,3,38.73740000385283,223.9128987920916,69.25299820621878,229.77285598842536,192.4354060602891,235.16125990104024,-46.5,-46.5
16,3,4,38.73740000385283,223.9128987920916,69.25299820621878,229.77285598842536,206.90429239649848,255.79955561977476,-46.5,-46.5
16,3,5,38.73740000385283,223.9128987920916,69.25299820621878,229.77285598842536,211.03754669457476,265.75764972393836,-46.5,-46.5
16,3,6,38.73740000385283,223.9128987920916,69.25299820621878,229.77285598842536,219.88000326589827,273.6284625790322,-46.5,-46.5
16,3,8,38.73740000385283,223.9128987920916,69.25299820621878,229.77285598842536,234.8630022274756,280.24624194780154,-46.5,-46.5
17,3,3,315.403391295236,227.9056068130418,345.3889490521839,233.3693293426144,91.27913503023751,91.97695311919324,-46.5,-47.0
17,3,4,315.403391295236,227.9056068130418,345.3889490521839,233.3693293426144,99.61943883281174,93.08724234805504,-46.5,-47.0
17,3,5,315.403391295236,227.9056068130418,345.3889490521839,233.3693293426144,101.22401046499454,96.53823603843148,-46.5,-47.0
17,3,6,315.403391295236,227.9056068130418,345.3889490521839,233.3693293426144,99.68995040650407,111.13986835332435,-46.5,-47.0
17,3,8,315.403391295236,227.9056068130418,345.3889490521839,233.3693293426144,105.60895765478563,128.45958815912672,-46.5,-47.0
18,3,3,112.11800845711086,237.57268811605664,142.51292014952438,243.2073200700709,55.24420486077884,61.355627651036,-46.0,-46.0
18,3,4,112.11800845711086,237.57268811605664,142.51292014952438,243.2073200700709,54.49392181298617,62.88651703424375,-46.0,-46.0
18,3,5,112.11800845711086,237.57268811605664,142.51292014952438,243.2073200700709,45.2679696900077,57.66005411646165,-46.0,-46.0
18,3,6,112.11800845711086,237.57268811605664,142.51292014952438,243.2073200700709,36.46110836776552,53.61047246760609,-46.0,-46.0
18,3,8,112.11800845711086,237.57268811605664,142.51292014952438,243.2073200700709,17.797655287047746,41.02941264983929,-46.0,-46.0
19,3,3,110.66805392035847,261.99578847525487,141.0162998162433,267.7294893955004,218.47511805271733,201.35642121138926,-46.5,-46.0
19,3,4,110.66805392035847,261.99578847525487,141.0162998162433,267.7294893955004,229.425675995431,206.87766187465877,-46.5,-46.0
19,3,5,110.66805392035847,261.99578847525487,141.0162998162433,267.7294893955004,240.61986183260524,202.90539325971122,-46.5,-46.0
19,3,6,110.66805392035847,261.99578847525487,141.0162998162433,267.7294893955004,251.92805427845633,201.03774185190923,-46.5,-46.0
19,3,8,110.66805392035847,261.99578847525487,141.0162998162433,267.7294893955004,266.43234436918465,175.63250279359454,-46.5,-46.0
20,3,3,198.43530511627725,273.4297647202993,228.6012038780601,279.1013499446946,52.3098614710716,54.16579373754962,-46.0,-46.0
20,3,4,198.43530511627725,273.4297647202993,228.6012038780601,279.1013499446946,54.041366806830865,54.89611828559464,-46.0,-46.0
20,3,5,198.43530511627725,273.4297647202993,228.6012038780601,279.1013499446946,51.4985682153324,55.66142682272084,-46.0,-46.0
20,3,6,198.43530511627725,273.4297647202993,228.6012038780601,279.1013499446946,48.33691211819951,52.17182509238046,-46.0,-46.0
20,3,8,198.43530511627725,273.4297647202993,228.6012038780601,279.1013499446946,43.877299008929185,43.940964403029284,-46.0,-46.0
21,3,3,317.4140839855377,278.21132363763263,347.2559696749261,283.91179589164665,92.55468464455771,73.00821477540967,-47.0,-47.0
21,3,4,317.4140839855377,278.21132363763263,347.2559696749261,283.91179589164665,102.55073120836869,73.80432260279485,-47.0,-47.0
