6dFGS,No,logAge,e_logAge,[Fe/H],e_[Fe/H],[a/Fe],e_[a/Fe],[Z/H],e_[Z/H],Q,_RA,_DE
g1250039-412255,1,0.725,0.109,0.305,0.079,0.180,0.033,0.475,0.059,6,192.5163750,-41.3820278
g1250116-145557,1,0.475,0.122,-0.023,0.157,0.210,0.081,0.175,0.117,9,192.5482917,-14.9324722
g1250230-182528,1,0.700,0.100,-0.108,0.128,0.380,0.067,0.250,0.075,4,192.5957083,-18.4243333
g1250344-412815,1,0.450,0.054,-0.073,0.091,0.210,0.054,0.125,0.053,4,192.6434167,-41.4709167
g1250466-415338,1,0.825,0.084,-0.166,0.077,0.150,0.043,-0.025,0.047,3,192.6941250,-41.8939444
g1250534-182916,1,0.675,0.110,0.205,0.108,0.180,0.046,0.375,0.077,5,192.7223333,-18.4878611
g1251009-414321,1,1.100,0.017,-0.558,0.073,0.380,0.059,-0.200,0.026,2,192.7537500,-41.7224444
g1251013-142004,1,0.475,0.132,0.167,0.172,0.300,0.068,0.450,0.166,8,192.7554167,-14.3343333
g1251155-150233,1,0.625,0.114,0.099,0.114,0.320,0.046,0.400,0.082,5,192.8143750,-15.0424167
g1251159-074613,1,1.075,0.040,-0.548,0.106,0.210,0.091,-0.350,0.041,5,192.8160417,-7.7702778
g1251317-183112,1,0.750,0.116,-0.083,0.120,0.380,0.060,0.275,0.077,4,192.8819167,-18.5200556
g1251318-262708,1,0.350,0.064,0.149,0.092,0.320,0.035,0.450,0.078,7,192.8826667,-26.4520833
g1251324-131948,1,1.125,0.009,-0.473,0.063,0.210,0.051,-0.275,0.025,8,192.8849583,-13.3300278
g1251371-082437,1,1.175,0.032,-0.476,0.062,0.320,0.052,-0.175,0.028,4,192.9045000,-8.4102222
g1251451-133607,1,1.100,0.029,-0.295,0.082,0.340,0.062,0.025,0.036,7,192.9378333,-13.6018056
g1251565-413221,1,0.625,0.098,0.049,0.123,0.240,0.055,0.275,0.085,5,192.9852917,-41.5390556
g1252084-215154,1,1.025,0.018,0.024,0.038,0.240,0.026,0.250,0.023,2,193.0349583,-21.8651111
g1252096-140860,1,0.425,0.093,-0.226,0.144,0.320,0.096,0.075,0.084,3,193.0398333,-14.1499722
g1252129-132439,1,0.625,0.111,-0.220,0.118,0.180,0.082,-0.050,0.077,5,193.0538750,-13.4108056
g1252156-080758,1,0.675,0.061,0.090,0.066,0.090,0.034,0.175,0.045,5,193.0651250,-8.1328611
g1252160-412326,1,0.425,0.071,0.340,0.083,0.090,0.040,0.425,0.085,7,193.0666667,-41.3905000
g1252351-311558,1,1.100,0.049,0.102,0.066,0.210,0.051,0.300,0.029,6,193.1460833,-31.2660278
g1252381-214424,1,0.800,0.171,-0.579,0.190,0.800,0.096,0.175,0.139,8,193.1585833,-21.7399722
g1252534-451422,1,1.175,0.022,-0.471,0.090,0.420,0.073,-0.075,0.044,6,193.2222917,-45.2394444
g1252579-152050,1,0.675,0.102,-0.129,0.109,0.270,0.057,0.125,0.075,2,193.2411250,-15.3471389
g1253038-152702,1,1.125,0.036,-0.421,0.104,0.420,0.079,-0.025,0.041,8,193.2657500,-15.4504722
g1253038-193638,1,1.000,0.058,-0.076,0.064,0.320,0.042,0.225,0.041,6,193.2656250,-19.6106389
g1253068-155123,1,0.675,0.134,0.137,0.128,0.120,0.063,0.250,0.095,7,193.2782500,-15.8563889
g1253072-102939,1,1.175,0.000,-0.129,0.039,0.270,0.030,0.125,0.023,4,193.2801250,-10.4942778
g1253285-153030,1,0.350,0.162,0.337,0.191,0.120,0.079,0.450,0.164,9,193.3686667,-15.5082778
g1253290-153200,1,1.175,0.017,-0.558,0.070,0.460,0.054,-0.125,0.031,8,193.3707500,-15.5333333
g1253293-052547,1,1.175,0.009,-0.458,0.045,0.300,0.040,-0.175,0.023,3,193.3722500,-5.4297222
g1253322-093229,1,1.025,0.034,-0.176,0.053,0.240,0.041,0.050,0.027,4,193.3839583,-9.5415000
g1253330-321945,1,0.925,0.088,-0.323,0.093,0.210,0.061,-0.125,0.065,3,193.3873750,-32.3291389
g1253361-101756,1,1.175,0.004,-0.085,0.059,0.090,0.051,0.000,0.031,6,193.4003750,-10.2988056
g1253418-045305,1,0.750,0.070,-0.035,0.075,0.090,0.042,0.050,0.047,1,193.4240417,-4.8848333
g1253427-003359,1,-0.175,0.057,0.099,0.168,0.240,0.082,0.325,0.108,9,193.4277083,-0.5664167
g1253471-151446,1,1.025,0.076,0.222,0.098,0.030,0.064,0.250,0.055,6,193.4461667,-15.2460833
g1253494-155851,1,0.975,0.081,-0.057,0.089,0.060,0.063,0.000,0.055,5,193.4559167,-15.9807500
g1253533-150630,1,0.850,0.109,-0.079,0.105,0.270,0.055,0.175,0.068,6,193.4721250,-15.1082222
g1253585-084633,1,1.000,0.051,-0.208,0.061,0.300,0.036,0.075,0.040,2,193.4939167,-8.7757222
g1254004-164745,1,0.625,0.103,0.205,0.110,0.180,0.056,0.375,0.075,8,193.5015000,-16.7956944
g1254043-133506,1,1.150,0.022,-0.100,0.058,0.000,0.049,-0.100,0.026,5,193.5180417,-13.5851111
g1254057-160501,1,0.200,0.062,0.341,0.147,-0.150,0.066,0.200,0.108,7,193.5238333,-16.0836667
g1254091-011527,1,1.050,0.034,-0.258,0.069,0.300,0.054,0.025,0.036,5,193.5379583,-1.2575278
g1254199-090704,1,1.025,0.033,-0.158,0.059,0.300,0.046,0.125,0.030,2,193.5827500,-9.1177222
g1254248-305337,1,0.775,0.135,-0.389,0.172,0.360,0.107,-0.050,0.089,8,193.6035000,-30.8936944
g1254324-065134,1,0.875,0.076,0.002,0.063,0.210,0.033,0.200,0.045,3,193.6350833,-6.8594167
g1254332-193538,1,0.775,0.118,-0.060,0.130,0.090,0.069,0.025,0.098,6,193.6382083,-19.5937778
g1254344-144719,1,0.625,0.102,-0.254,0.122,0.270,0.073,0.000,0.076,7,193.6433333,-14.7886667
g1254355-454732,1,0.675,0.153,0.084,0.167,0.150,0.075,0.225,0.121,5,193.6480833,-45.7922500
g1254370-103647,1,0.700,0.055,0.184,0.062,0.150,0.032,0.325,0.043,4,193.6542500,-10.6130556
g1254371-181830,1,1.150,0.006,-0.048,0.061,0.210,0.051,0.150,0.033,3,193.6546667,-18.3082778
g1254392-181424,1,1.050,0.044,-0.477,0.065,0.480,0.060,-0.025,0.034,6,193.6635000,-18.2400833
g1254402-173134,1,1.100,0.080,-0.033,0.089,0.300,0.055,0.250,0.064,9,193.6676667,-17.5261667
g1254425-165412,1,0.450,0.068,-0.189,0.105,0.360,0.068,0.150,0.060,7,193.6772083,-16.9032500
g1254436-124539,1,1.075,0.014,-0.051,0.039,0.240,0.031,0.175,0.021,2,193.6814583,-12.7607778
g1254436-163003,1,0.975,0.084,-0.439,0.112,0.440,0.078,-0.025,0.052,3,193.6817917,-16.5008056
g1254445-171711,1,0.525,0.107,0.293,0.126,0.060,0.073,0.350,0.108,7,193.6853750,-17.2863056
g1254463-215219,1,0.675,0.110,-0.058,0.128,0.300,0.065,0.225,0.082,7,193.6927083,-21.8720000
g1254467-130515,1,0.975,0.081,-0.348,0.083,0.210,0.050,-0.150,0.047,2,193.6946667,-13.0874444
g1254505-140727,1,1.175,0.000,-0.229,0.050,0.270,0.042,0.025,0.025,6,193.7105000,-14.1241389
g1254557-100405,1,0.950,0.052,-0.035,0.062,0.090,0.041,0.050,0.037,3,193.7322083,-10.0681389
g1255007-455420,1,1.025,0.099,-0.476,0.140,0.320,0.092,-0.175,0.079,7,193.7528333,-45.9056389
g1255029-454943,1,0.400,0.074,-0.123,0.117,0.210,0.068,0.075,0.087,7,193.7618750,-45.8286944
g1255037-122949,1,0.775,0.070,0.218,0.067,0.060,0.037,0.275,0.047,4,193.7654167,-12.4970556
g1255105-123631,1,1.175,0.000,-0.141,0.040,0.150,0.036,0.000,0.020,7,193.7937500,-12.6084722
g1255290-095601,1,1.175,0.004,-0.208,0.062,0.300,0.049,0.075,0.036,4,193.8707083,-9.9335556
g1255371-132347,1,1.175,0.004,-0.198,0.045,0.210,0.038,0.000,0.023,6,193.9047500,-13.3962500
g1255381-003527,1,0.425,0.089,0.177,0.127,0.210,0.050,0.375,0.096,5,193.9089167,-0.5906944
g1255435-152105,1,0.675,0.123,0.084,0.138,0.150,0.086,0.225,0.097,6,193.9312917,-15.3515000
g1255464-113234,1,0.425,0.057,-0.070,0.090,0.180,0.053,0.100,0.051,4,193.9432500,-11.5426944
g1255477-182414,1,0.900,0.115,0.152,0.080,0.210,0.037,0.350,0.061,3,193.9488750,-18.4040000
g1255494-165732,1,0.725,0.118,0.049,0.118,0.240,0.055,0.275,0.076,4,193.9556250,-16.9589167
g1255500-131917,1,0.600,0.091,-0.003,0.098,0.030,0.047,0.025,0.065,2,193.9581667,-13.3214444
g1256012-493548,1,1.175,0.129,-0.027,0.104,0.400,0.058,0.350,0.086,10,194.0050833,-49.5965556
g1256046-170733,1,1.075,0.037,-0.346,0.087,0.420,0.068,0.050,0.041,3,194.0192917,-17.1256944
g1256071-165650,1,0.850,0.119,0.265,0.098,0.090,0.048,0.350,0.070,6,194.0295417,-16.9471944
g1256178-115219,1,0.500,0.069,0.018,0.105,0.060,0.064,0.075,0.065,7,194.0740833,-11.8719722
g1256420-170135,1,0.725,0.111,-0.323,0.134,0.210,0.086,-0.125,0.089,8,194.1750833,-17.0264722
g1256444-182738,1,0.675,0.105,-0.098,0.113,0.210,0.073,0.100,0.079,9,194.1851250,-18.4604167
g1256524-414750,1,0.850,0.074,0.090,0.073,0.090,0.041,0.175,0.049,2,194.2181667,-41.7971944
g1256540-174205,1,0.675,0.130,0.099,0.129,0.240,0.055,0.325,0.092,5,194.2247917,-17.7015000
g1256541-330013,1,1.125,0.025,-0.003,0.071,0.030,0.068,0.025,0.038,3,194.2252917,-33.0034722
g1256549-312715,1,0.900,0.098,-0.051,0.087,0.320,0.048,0.250,0.061,6,194.2288333,-31.4540833
g1256580-154925,1,0.750,0.140,0.105,0.152,0.180,0.071,0.275,0.101,4,194.2416667,-15.8235278
g1257006-134310,1,1.175,0.015,-0.546,0.076,0.420,0.060,-0.150,0.031,7,194.2523333,-13.7193333
g1257037-104543,1,0.250,0.068,-0.083,0.121,0.300,0.065,0.200,0.074,6,194.2655417,-10.7618333
g1257048-302820,1,1.100,0.077,0.312,0.085,0.120,0.051,0.425,0.054,10,194.2699167,-30.4720833
g1257049-131004,1,0.600,0.096,0.078,0.101,-0.030,0.055,0.050,0.070,4,194.2704167,-13.1676667
g1257059-121620,1,1.175,0.025,-0.570,0.077,0.340,0.067,-0.250,0.031,6,194.2746250,-12.2721111
g1257082-323045,1,0.775,0.086,-0.032,0.083,0.060,0.047,0.025,0.054,2,194.2843333,-32.5126111
g1257116-172434,1,0.825,0.148,0.017,0.129,0.300,0.063,0.300,0.086,3,194.2982917,-17.4095556
g1257121-170917,1,1.075,0.042,-0.154,0.079,0.270,0.061,0.100,0.042,5,194.3005833,-17.1548056
g1257122-133953,1,1.175,0.008,-0.183,0.038,0.300,0.029,0.100,0.024,7,194.3010000,-13.6648333
g1257123-323101,1,0.900,0.093,-0.198,0.111,0.210,0.072,0.000,0.064,5,194.3012917,-32.5168056
g1257151-172050,1,1.175,0.009,-0.779,0.061,0.800,0.052,-0.025,0.030,10,194.3127917,-17.3473056
g1257177-063232,1,0.800,0.100,-0.251,0.106,0.240,0.065,-0.025,0.053,3,194.3236250,-6.5423333
g1257194-173223,1,1.175,0.058,-0.152,0.086,0.400,0.061,0.225,0.042,4,194.3306250,-17.5395833
g1257200-203925,1,1.075,0.039,-0.188,0.069,0.120,0.056,-0.075,0.035,1,194.3333333,-20.6569167
g1257217-154741,1,1.150,0.041,0.121,0.050,0.270,0.033,0.375,0.032,6,194.3403333,-15.7947500
g1257225-044109,1,0.325,0.056,0.326,0.118,-0.240,0.075,0.100,0.068,8,194.3438750,-4.6859167
g1257245-134415,1,1.175,0.013,-0.245,0.074,-0.090,0.066,-0.330,0.026,8,194.3520000,-13.7375000
g1257255-173923,1,0.700,0.135,-0.356,0.165,0.590,0.081,0.200,0.104,8,194.3562500,-17.6564722
g1257265-032927,1,0.875,0.073,-0.035,0.065,0.090,0.035,0.050,0.042,1,194.3602917,-3.4909167
g1257279-194129,1,0.975,0.048,-0.066,0.046,0.150,0.031,0.075,0.034,2,194.3662500,-19.6912778
g1257291-175620,1,1.100,0.038,-0.104,0.084,0.270,0.061,0.150,0.042,7,194.3711250,-17.9387778
g1257293-182449,1,0.725,0.118,0.134,0.120,0.150,0.049,0.275,0.092,3,194.3720417,-18.4134722
g1257367-271732,1,0.850,0.073,-0.010,0.069,0.090,0.039,0.075,0.041,1,194.4028750,-27.2921389
g1257475-394542,1,0.700,0.054,-0.195,0.063,0.340,0.037,0.125,0.038,5,194.4480833,-39.7616944
g1257486-175604,1,0.550,0.114,-0.089,0.162,0.360,0.066,0.250,0.123,4,194.4523333,-17.9345000
g1257492-173243,1,0.525,0.107,0.205,0.125,0.180,0.057,0.375,0.097,5,194.4549583,-17.5452778
g1257493-172034,1,0.775,0.150,0.400,0.129,0.000,0.060,0.400,0.091,6,194.4554583,-17.3426389
g1257562-130336,1,0.475,0.061,0.272,0.070,0.030,0.036,0.300,0.051,3,194.4840000,-13.0600833
g1258008-033716,1,0.725,0.072,-0.016,0.083,0.150,0.046,0.125,0.050,5,194.5034167,-3.6211389
g1258049-172716,1,0.975,0.070,-0.189,0.078,0.360,0.053,0.150,0.045,5,194.5204167,-17.4543889
g1258088-492425,1,0.875,0.169,0.062,0.174,0.120,0.078,0.175,0.125,9,194.5366667,-49.4068611
g1258105-100928,1,1.025,0.044,-0.421,0.072,0.500,0.048,0.050,0.039,7,194.5436250,-10.1578611
g1258191-171837,1,0.775,0.105,-0.151,0.106,0.320,0.059,0.150,0.068,3,194.5796250,-17.3102500
g1258387-453638,1,0.925,0.080,-0.301,0.085,0.240,0.050,-0.075,0.047,2,194.6612917,-45.6106667
g1258419-320718,1,0.750,0.097,0.071,0.091,0.270,0.047,0.325,0.058,5,194.6747083,-32.1215833
g1258449-280955,1,0.700,0.156,0.287,0.143,0.120,0.055,0.400,0.113,7,194.6870000,-28.1653333
g1258493-465434,1,0.200,0.057,-0.176,0.184,0.320,0.139,0.125,0.104,8,194.7052083,-46.9093333
g1258498-175059,1,0.475,0.093,0.023,0.126,0.400,0.053,0.400,0.102,4,194.7074583,-17.8497222
g1258509-435230,1,1.150,0.010,-0.013,0.044,0.120,0.037,0.100,0.028,8,194.7121667,-43.8750833
g1258547-005822,1,0.300,0.053,0.018,0.125,0.060,0.077,0.075,0.070,3,194.7277083,-0.9727778
g1259034-054352,1,0.250,0.102,0.280,0.218,0.180,0.064,0.450,0.188,6,194.7643333,-5.7311111
g1259043-145339,1,0.675,0.113,0.074,0.087,0.240,0.038,0.300,0.069,8,194.7680833,-14.8942222
g1259050-030844,1,0.275,0.075,-0.474,0.207,0.530,0.135,0.025,0.096,5,194.7709583,-3.1456111
g1259060-173756,1,0.425,0.091,0.024,0.141,0.240,0.074,0.250,0.097,8,194.7748333,-17.6321944
g1259080-105451,1,1.100,0.060,0.057,0.092,-0.060,0.067,0.000,0.047,9,194.7833750,-10.9140833
g1259123-192543,1,0.725,0.125,0.012,0.130,0.120,0.094,0.125,0.086,8,194.8012917,-19.4285278
g1259169-165533,1,0.100,0.057,0.027,0.142,0.210,0.074,0.225,0.084,4,194.8203333,-16.9258611
g1259185-131352,1,0.925,0.070,-0.138,0.064,0.120,0.038,-0.025,0.042,1,194.8268750,-13.2310278
g1259274-192028,1,0.675,0.159,0.030,0.183,0.340,0.071,0.350,0.136,6,194.8642500,-19.3410278
g1259278-191938,1,1.150,0.034,-0.196,0.064,0.500,0.049,0.275,0.029,3,194.8656667,-19.3272222
g1259296-052344,1,0.200,0.065,0.077,0.140,0.210,0.071,0.275,0.108,7,194.8735000,-5.3956389
g1259472-193217,1,0.875,0.128,0.002,0.133,0.210,0.073,0.200,0.082,2,194.9467500,-19.5380556
g1259476-485425,1,0.300,0.094,0.334,0.171,0.150,0.050,0.475,0.154,3,194.9482500,-48.9069444
g1300154-130025,1,0.700,0.075,-0.057,0.087,0.060,0.049,0.000,0.057,3,195.0640417,-13.0070556
g1300178-333812,1,0.325,0.104,0.532,0.160,-0.060,0.073,0.475,0.142,9,195.0740833,-33.6365278
g1300202-060614,1,1.175,0.007,-0.232,0.056,0.060,0.069,-0.175,0.045,9,195.0840417,-6.1038333
g1300210-315710,1,0.750,0.134,-0.321,0.147,0.500,0.070,0.150,0.093,4,195.0874167,-31.9526667
g1300320-452453,1,0.650,0.066,-0.148,0.075,0.210,0.043,0.050,0.053,4,195.1332500,-45.4146667
g1300345-765338,1,0.825,0.141,-0.151,0.164,0.320,0.091,0.150,0.109,6,195.1437917,-76.8938056
g1300375-074841,1,0.475,0.112,0.012,0.177,0.120,0.091,0.125,0.128,8,195.1562500,-7.8113889
g1300488-120025,1,1.150,0.021,-0.345,0.054,0.180,0.044,-0.175,0.026,4,195.2031667,-12.0070278
g1301262-131635,1,0.650,0.112,0.049,0.135,0.240,0.069,0.275,0.092,5,195.3590000,-13.2762500
g1301282-043247,1,0.275,0.035,0.055,0.093,0.340,0.043,0.375,0.069,5,195.3676250,-4.5464444
g1301292-321960,1,0.725,0.122,0.029,0.093,0.420,0.049,0.425,0.067,7,195.3717500,-32.3333056
g1301313-274428,2,1.000,0.140,-0.199,0.122,0.530,0.071,0.300,0.099,7,195.3805417,-27.7411389
g1301321-321728,1,0.925,0.059,-0.051,0.057,0.320,0.033,0.250,0.039,5,195.3838750,-32.2910556
g1301321-484815,1,0.325,0.089,-0.040,0.206,-0.090,0.119,-0.125,0.121,6,195.3836250,-48.8041944
g1301417-305445,1,0.850,0.081,0.224,0.048,0.240,0.027,0.450,0.041,3,195.4237083,-30.9123611
g1301510-434248,1,0.625,0.070,-0.138,0.077,0.120,0.047,-0.025,0.050,4,195.4626250,-43.7132778
g1301517-412416,1,0.450,0.093,-0.533,0.182,0.380,0.117,-0.175,0.095,6,195.4653333,-41.4043333
g1301558-165851,1,1.175,0.009,-0.107,0.079,0.060,0.058,-0.050,0.040,6,195.4826667,-16.9807778
g1301564-292425,1,1.125,0.110,0.047,0.145,0.030,0.083,0.075,0.092,9,195.4848333,-29.4070556
g1302012-162850,1,0.900,0.111,-0.533,0.109,0.460,0.074,-0.100,0.061,4,195.5047917,-16.4805278
g1302019-424617,1,0.675,0.084,0.168,0.088,0.060,0.039,0.225,0.068,4,195.5077083,-42.7714167
g1302074-074239,1,1.000,0.069,-0.053,0.079,0.030,0.051,-0.025,0.044,4,195.5307917,-7.7107778
g1302142-124628,1,0.275,0.047,0.021,0.111,0.270,0.060,0.275,0.070,4,195.5589583,-12.7743333
g1302520-465054,1,0.425,0.131,0.326,0.161,-0.240,0.069,0.100,0.118,3,195.7165000,-46.8482500
g1302560-501246,1,0.925,0.120,-0.108,0.139,0.300,0.071,0.175,0.086,5,195.7335000,-50.2126667
g1303012-325027,1,1.050,0.031,0.059,0.050,0.150,0.037,0.200,0.030,2,195.7551250,-32.8408056
g1303046-165446,1,0.950,0.065,-0.726,0.104,0.420,0.076,-0.330,0.053,4,195.7691250,-16.9127778
g1303064-055841,1,0.575,0.080,-0.154,0.100,0.270,0.052,0.100,0.067,4,195.7764583,-5.9780000
g1303104-195710,1,1.025,0.047,-0.339,0.072,0.440,0.053,0.075,0.038,9,195.7932083,-19.9526944
g1303236-115109,1,0.950,0.108,-0.073,0.110,0.210,0.053,0.125,0.074,6,195.8482500,-11.8525833
g1303251-441208,1,0.700,0.106,0.275,0.113,0.000,0.056,0.275,0.080,6,195.8546250,-44.2023056
g1303346-790210,1,0.500,0.127,-0.091,0.198,0.150,0.109,0.050,0.120,5,195.8942500,-79.0361944
g1303372-235507,1,0.500,0.117,-0.409,0.175,0.620,0.094,0.175,0.101,8,195.9048333,-23.9186111
g1303438-164812,1,1.025,0.068,0.184,0.075,0.150,0.048,0.325,0.047,4,195.9325000,-16.8033333
g1303465-050801,1,0.725,0.123,-0.291,0.131,0.150,0.077,-0.150,0.071,3,195.9436250,-5.1334722
g1303469-164748,1,0.700,0.115,0.243,0.125,0.060,0.064,0.300,0.088,8,195.9452083,-16.7966389
g1303488-194616,1,1.175,0.023,-0.571,0.084,0.420,0.071,-0.175,0.033,9,195.9532917,-19.7711944
g1303562-191934,1,1.175,0.012,0.135,0.079,-0.090,0.065,0.050,0.036,7,195.9841667,-19.3261667
g1304006-302209,1,0.800,0.081,-0.032,0.071,0.060,0.043,0.025,0.043,2,196.0025833,-30.3690278
g1304068-123024,1,0.800,0.122,-0.138,0.121,0.120,0.069,-0.025,0.074,4,196.0281667,-12.5066944
g1304301-445916,1,1.175,0.004,-0.195,0.053,0.340,0.045,0.125,0.024,6,196.1252917,-44.9876667
g1304302-321505,1,0.850,0.081,0.115,0.071,0.090,0.035,0.200,0.057,4,196.1257500,-32.2514167
g1304315-301014,1,1.025,0.025,-0.126,0.040,0.320,0.030,0.175,0.023,1,196.1312083,-30.1706389
g1304386-171820,1,0.300,0.042,0.103,0.098,-0.030,0.063,0.075,0.057,2,196.1606667,-17.3056111
g1304396-221143,1,0.875,0.088,-0.579,0.067,0.800,0.034,0.175,0.047,9,196.1651667,-22.1952778
g1304417-162930,1,0.850,0.148,0.121,0.131,0.270,0.053,0.375,0.088,4,196.1739167,-16.4917778
g1304422-114821,1,0.500,0.103,-0.038,0.145,0.120,0.080,0.075,0.083,3,196.1756667,-11.8058056
g1304501-304448,1,0.150,0.084,0.122,0.225,0.030,0.117,0.150,0.140,8,196.2087917,-30.7467222
g1304537-341707,1,0.900,0.098,-0.170,0.098,0.180,0.068,0.000,0.053,10,196.2238750,-34.2853056
g1304559-320611,1,1.025,0.039,0.005,0.067,0.180,0.048,0.175,0.035,2,196.2329583,-32.1031667
g1304575-314331,1,0.250,0.126,0.357,0.255,-0.060,0.104,0.300,0.184,8,196.2395000,-31.7252778
g1305046-464725,1,0.275,0.035,-0.128,0.116,0.030,0.077,-0.100,0.063,4,196.2691667,-46.7902222
g1305131-112131,1,0.050,0.077,0.378,0.181,-0.030,0.072,0.350,0.157,2,196.3044583,-11.3585556
g1305183-423529,1,0.225,0.050,-0.298,0.191,0.210,0.125,-0.100,0.097,3,196.3260417,-42.5914444
g1305411-422142,1,1.125,0.011,0.040,0.062,0.090,0.038,0.125,0.035,4,196.4212083,-42.3616111
g1305438-313140,1,0.125,0.062,0.021,0.164,0.270,0.067,0.275,0.140,7,196.4322917,-31.5276389
g1306019-135109,1,1.000,0.069,-0.634,0.102,0.620,0.070,-0.050,0.049,6,196.5079583,-13.8525000
g1306046-113344,1,1.075,0.105,0.168,0.115,0.060,0.058,0.225,0.079,6,196.5190833,-11.5621667
g1306048-294515,1,0.850,0.069,-0.171,0.076,0.420,0.048,0.225,0.039,7,196.5200000,-29.7542778
g1306082-373548,1,1.000,0.077,0.074,0.066,0.320,0.041,0.375,0.042,4,196.5342083,-37.5965278
g1306083-052240,1,0.950,0.145,0.199,0.110,0.240,0.054,0.425,0.093,7,196.5345417,-5.3778333
g1306097-341900,1,1.150,0.018,-0.076,0.048,0.240,0.038,0.150,0.027,6,196.5403333,-34.3167222
g1306098-135043,1,0.250,0.047,0.147,0.125,0.030,0.064,0.175,0.075,2,196.5407083,-13.8451389
g1306105-373509,1,0.225,0.028,-0.041,0.089,0.150,0.065,0.100,0.041,9,196.5436250,-37.5857500
g1306128-211138,1,1.125,0.041,-0.458,0.094,0.380,0.076,-0.100,0.036,10,196.5533333,-21.1940000
g1306174-074542,1,1.025,0.077,0.003,0.093,-0.030,0.064,-0.025,0.054,2,196.5725833,-7.7617222
g1306176-290902,1,0.850,0.101,-0.223,0.124,0.210,0.072,-0.025,0.067,4,196.5731667,-29.1506111
g1306197-130251,1,0.900,0.075,-0.429,0.084,0.270,0.051,-0.175,0.045,3,196.5821250,-13.0475278
g1306214-123125,1,0.475,0.071,0.034,0.097,0.150,0.055,0.175,0.062,8,196.5889583,-12.5236667
g1306264-374632,1,0.650,0.129,0.005,0.143,0.340,0.060,0.325,0.106,7,196.6100833,-37.7755556
g1306291-301008,1,0.800,0.116,0.193,0.101,0.060,0.050,0.250,0.076,7,196.6214167,-30.1689722
g1306406-381632,1,1.125,0.012,-0.376,0.046,0.240,0.040,-0.150,0.020,3,196.6691667,-38.2755278
g1306569-201453,1,0.750,0.110,0.441,0.085,-0.150,0.041,0.300,0.068,8,196.7370417,-20.2480556
g1307089-314047,1,1.175,0.053,-0.448,0.105,0.210,0.079,-0.250,0.053,10,196.7870833,-31.6798333
g1307160-154340,1,0.850,0.083,0.077,0.095,0.210,0.051,0.275,0.054,7,196.8167083,-15.7276944
g1307166-190140,1,0.425,0.095,0.243,0.126,0.060,0.058,0.300,0.101,5,196.8189583,-19.0277222
g1307177-205849,1,0.350,0.062,-0.276,0.134,0.320,0.080,0.025,0.077,6,196.8236667,-20.9801944
g1307227-190332,1,0.875,0.135,-0.183,0.142,0.300,0.078,0.100,0.090,7,196.8445833,-19.0590000
g1307300-303719,1,0.925,0.109,-0.120,0.113,0.180,0.062,0.050,0.071,7,196.8750417,-30.6218333
g1307326-505733,1,0.700,0.144,-0.358,0.192,0.030,0.124,-0.330,0.129,6,196.8856250,-50.9592500
g1307370-484255,1,0.800,0.119,-0.678,0.153,0.560,0.106,-0.150,0.078,9,196.9042917,-48.7152778
g1307437-123333,1,1.075,0.011,-0.129,0.058,0.270,0.044,0.125,0.022,4,196.9320417,-12.5590556
g1307439-192344,1,1.050,0.055,-0.383,0.086,0.300,0.065,-0.100,0.041,6,196.9328750,-19.3956111
g1307502-050103,1,0.875,0.092,-0.070,0.087,0.180,0.046,0.100,0.053,1,196.9591667,-5.0174722
g1307547-314642,1,0.600,0.086,0.049,0.099,0.320,0.044,0.350,0.070,4,196.9779583,-31.7781944
g1307550-212342,1,1.075,0.055,-0.420,0.093,0.340,0.083,-0.100,0.053,8,196.9791250,-21.3951111
g1308109-125849,1,0.500,0.090,-0.139,0.150,0.360,0.071,0.200,0.110,4,197.0452917,-12.9801389
g1308126-173608,1,0.400,0.087,0.115,0.116,0.090,0.059,0.200,0.081,4,197.0524167,-17.6021944
g1308162-380146,1,0.800,0.116,0.012,0.141,0.120,0.074,0.125,0.089,8,197.0672917,-38.0294167
g1308286-062211,1,1.175,0.045,0.124,0.075,0.240,0.060,0.350,0.044,8,197.1192083,-6.3696944
g1308297-122633,1,0.700,0.134,-0.254,0.176,0.270,0.119,0.000,0.097,7,197.1236250,-12.4424722
g1308353-320853,1,0.675,0.109,-0.048,0.141,0.210,0.073,0.150,0.084,3,197.1472500,-32.1480278
g1308359-744452,1,1.000,0.088,-0.370,0.114,0.340,0.078,-0.050,0.056,4,197.1493750,-74.7476944
g1308376-211214,1,0.850,0.134,-0.531,0.132,0.590,0.104,0.025,0.064,8,197.1567083,-21.2039444
g1308395-430116,1,0.675,0.151,0.180,0.125,0.340,0.039,0.500,0.103,3,197.1645833,-43.0209722
g1308514-445018,1,0.700,0.088,-0.032,0.092,0.060,0.052,0.025,0.060,6,197.2140833,-44.8384444
g1308544-220346,1,0.525,0.091,-0.174,0.104,0.530,0.051,0.325,0.089,8,197.2267500,-22.0626944
g1309116-752236,1,1.175,0.023,-0.637,0.088,0.650,0.072,-0.025,0.034,9,197.2982500,-75.3765556
g1309161-052347,1,0.275,0.042,0.152,0.094,0.210,0.043,0.350,0.079,7,197.3169167,-5.3964167
g1309347-380415,1,0.900,0.091,0.072,0.089,0.030,0.053,0.100,0.057,5,197.3944583,-38.0708889
g1309370-245052,1,0.775,0.136,0.187,0.133,0.120,0.068,0.300,0.090,6,197.4039583,-24.8476389
