2MASX,Jtot,Jlogr,n,Htot,Hlogr,Ktot,Klogr,6dFGS,No,p,RAJ2000,DEJ2000,cz,JlogRe,HlogRe,KlogRe,JlogIe,HlogIe,KlogIe,logVd,Mt,Group,Nr,Ng,cz.gr,d5,sD5,Js,Hs,Ks,d_mpc,M_K,M_pred,residual,mu_fj,d_fj_mpc
J15360897-0521513,12.76,0.552,3.36,11.964,0.6,11.889,0.457,g1536090-052151,1,p,15.60249,-5.36428,7228,0.084,0.132,-0.011,3.176,3.244,3.502,2.037,0.0,,,,,2.7794,0.1873,0,0,0,102.51028222947099,-23.16483714605926,-23.623430325738003,0.45859317967874347,35.512430325738,126.61526408533133
J15364521-0049317,13.292,0.36,4.97,12.484,0.376,12.188,0.375,g1536452-004932,1,p,15.61256,-0.82553,11480,0.085,0.101,0.1,3.367,3.504,3.549,2.157,0.0,,,,,11.2584,0.0135,1,1,1,162.81378527868387,-23.87045586692456,-24.017166458154403,0.1467105912298443,36.2051664581544,174.19403998731576
J15365206-0222227,13.65,0.385,6.0,12.984,0.332,12.611,0.387,g1536521-022223,1,p,15.61447,-2.37311,11722,0.119,0.066,0.121,3.189,3.402,3.362,2.245,2.0,,,,,9.6709,0.0187,0,0,0,166.2459225641753,-23.49275501184279,-24.305906288593093,0.813151276750304,36.9169062885931,241.75822462258495
J15371268-0519572,11.198,1.18,2.37,10.696,1.066,10.554,0.966,g1537127-051957,1,p,15.62019,-5.33256,8156,0.763,0.649,0.549,2.555,2.827,3.021,2.138,4.0,,,,,2.3979,0.245,1,1,1,115.67153595234717,-24.7621325121453,-23.95482490385514,-0.8073076082901594,34.50882490385514,79.75629678513593
J15373726-0843163,11.829,1.044,3.84,11.279,0.971,10.83,1.061,g1537373-084316,1,p,15.62702,-8.72114,7318,0.581,0.508,0.598,2.562,2.775,2.717,2.016,4.0,,,,,3.6751,0.1281,0,0,0,103.78669692242235,-24.250708452367732,-23.554526502565132,-0.6961819498026003,34.38452650256513,75.31913097293508
J15375907-2800389,13.394,0.444,6.0,12.707,0.346,12.423,0.348,g1537591-280039,1,,15.63307,-28.01078,13971,0.25,0.152,0.154,3.193,3.501,3.519,2.295,1.0,,,,,7.7725,0.0351,1,1,1,198.1421075024819,-24.061883889876754,-24.46996301043326,0.40807912055650775,36.89296301043326,239.10717153101078
J15381532-0654071,12.604,0.697,6.0,12.254,0.426,11.908,0.483,g1538153-065407,1,p,15.63759,-6.902,8245,0.284,0.013,0.07,2.957,3.483,3.445,2.131,4.0,,,,,2.3952,0.3049,1,1,1,116.93376825982129,-23.431699726517476,-23.931856962797514,0.5001572362800388,35.83985696279751,147.22155228327514
J15382230-0027436,12.98,0.445,3.35,12.083,0.532,12.022,0.334,g1538223-002744,1,p,15.63953,-0.46208,11868,0.184,0.271,0.073,3.323,3.354,3.697,2.203,3.5,,,,,12.7251,0.0128,1,1,1,168.31655084385193,-24.108634114838807,-24.168098642247354,0.05946452740854724,36.19009864224736,172.98949403880064
J15382438-0853511,12.878,0.578,4.78,12.301,0.473,11.772,0.549,g1538244-085351,1,,15.64011,-8.89758,15321,0.422,0.317,0.393,3.127,3.409,3.374,2.224,3.5,,,,,10.866,0.015,1,1,1,217.2883278967522,-24.913181989490802,-24.237002465420225,-0.6761795240705766,36.009002465420224,159.1477463555369
J15391002-1411478,12.866,0.534,2.43,12.207,0.432,11.767,0.539,g1539100-141148,1,p,15.65279,-14.19656,6837,0.042,-0.06,0.047,3.171,3.483,3.389,2.153,2.0,,,,,2.4598,0.3603,1,1,1,96.96496950787122,-23.16607432611498,-24.00404192040719,0.8379675942922091,35.771041920407185,142.62917957368686
